function	mean_us	min_us	max_us	iters	ops_per_s
fibonacci_real(n) — Binet real-index	0.0998	0.0998	0.0998	500000	10020863
prime_product_index(n,beta) — table lookup	0.0106	0.0106	0.0106	2000000	93923171
D_n(n,b,r,k,Omega,base) — resonance amplitude	0.2456	0.2456	0.2456	200000	4072424
n_of_2p(p) — phi-lattice coord for Mersenne p	0.0194	0.0194	0.0194	1000000	51537094
phi_filter(p) — frac(n_of_2p) < 0.5 predicate	0.0279	0.0279	0.0279	2000000	35891371
gram_zero_k(k) — Lambert W, 6-iter Newton	0.1694	0.1694	0.1694	500000	5903620
zeta_zero_cpu(k) — table dispatch (<80) or gram	0.0786	0.0786	0.0786	2000000	12728792
psi_score_cpu(x, B=500) — scalar explicit formula	103.1588	103.1588	103.1588	2000	9694
is_prime_64(n) — Miller-Rabin, 12 witnesses	3.5283	3.5283	3.5283	200000	283426
segmented_sieve([1e7, 1e7+1e5]) — prime enumeration	477.9000	477.9000	477.9000	1	209250889
phi_filter_batch(51 Mersenne exps × 10K reps)	0.0180	0.0180	0.0180	510000	55665310
D_n_rank_batch(1000 primes) — score + sort	0.3384	0.3384	0.3384	1000	2955083
full_pipeline([1e7,1e7+2e5]): sieve+filter+rank	958.7000	958.7000	958.7000	1	208615834
